,assignments,week1,week2,total
0,"(1, 2, 2, 1, 1, 1, 2, 2)",1721.29,1586.098,3307.388
1,"(1, 2, 2, 2, 1, 1, 2, 1)",1724.907,1624.825,3349.732
2,"(1, 2, 2, 1, 2, 2, 1, 2)",1652.529,1786.568,3439.0969999999998
3,"(1, 1, 1, 1, 2, 2, 2, 2)",1692.834,1637.828,3330.6620000000003
4,"(1, 1, 1, 1, 1, 2, 2, 2)",1714.329,1564.158,3278.487
5,"(1, 1, 1, 1, 1, 1, 1, 2)",1903.656,1360.742,3264.398
6,"(1, 2, 2, 2, 1, 1, 1, 1)",1807.642,1567.288,3374.9300000000003
7,"(1, 1, 2, 2, 2, 2, 2, 2)",1769.974,1671.708,3441.682
8,"(1, 2, 2, 2, 2, 1, 2, 2)",1807.835,1565.279,3373.114
9,"(1, 2, 2, 2, 2, 1, 1, 1)",1743.686,1641.666,3385.352
10,"(1, 2, 1, 1, 1, 2, 1, 1)",1727.288,1587.688,3314.976
11,"(1, 1, 2, 2, 1, 2, 1, 2)",1665.675,1571.292,3236.9669999999996
12,"(1, 1, 1, 2, 2, 2, 2, 2)",1628.579,1668.829,3297.408
13,"(1, 1, 2, 1, 1, 1, 1, 2)",1867.644,1431.435,3299.0789999999997
14,"(1, 2, 2, 2, 1, 2, 1, 1)",1606.697,1727.909,3334.6059999999998
15,"(1, 2, 2, 2, 2, 2, 2, 1)",1599.843,1797.032,3396.875
16,"(1, 2, 2, 1, 2, 1, 2, 1)",1806.2,1613.567,3419.767
17,"(1, 2, 2, 1, 2, 1, 1, 1)",1766.504,1572.979,3339.483
18,"(1, 2, 1, 1, 2, 2, 2, 1)",1827.743,1769.458,3597.201
19,"(1, 1, 2, 1, 1, 1, 2, 1)",1873.107,1544.613,3417.7200000000003
20,"(1, 2, 2, 1, 2, 2, 2, 2)",1603.742,1772.048,3375.79
21,"(1, 1, 1, 2, 1, 1, 1, 1)",1980.435,1510.779,3491.214
22,"(1, 2, 1, 1, 1, 1, 1, 2)",1816.882,1662.581,3479.4629999999997
23,"(1, 1, 1, 1, 1, 2, 2, 1)",1837.975,1646.619,3484.594
24,"(1, 2, 1, 1, 2, 1, 1, 2)",1886.109,1550.739,3436.848
25,"(1, 1, 2, 1, 1, 1, 2, 2)",1862.485,1569.347,3431.832
26,"(1, 2, 2, 1, 2, 1, 1, 2)",1866.001,1500.657,3366.658
27,"(1, 1, 1, 2, 2, 1, 1, 1)",1959.481,1511.061,3470.542
28,"(1, 2, 1, 2, 1, 1, 2, 2)",1900.205,1618.995,3519.2
29,"(1, 1, 1, 1, 2, 1, 1, 2)",1913.718,1468.137,3381.855
30,"(1, 1, 2, 1, 2, 2, 2, 2)",1774.911,1674.318,3449.2290000000003
31,"(1, 2, 1, 2, 1, 1, 1, 1)",1959.98,1607.172,3567.152
32,"(1, 1, 2, 1, 1, 2, 2, 2)",1734.674,1582.279,3316.953
33,"(1, 2, 2, 2, 1, 1, 1, 2)",1818.838,1685.028,3503.866
34,"(1, 1, 2, 1, 2, 2, 2, 1)",1680.419,1621.342,3301.7610000000004
35,"(1, 1, 2, 2, 2, 1, 2, 2)",1735.446,1667.251,3402.697
36,"(1, 2, 1, 2, 1, 2, 1, 2)",1916.575,1657.633,3574.208
37,"(1, 2, 2, 2, 2, 1, 1, 2)",1782.399,1643.849,3426.2479999999996
38,"(1, 2, 2, 1, 1, 2, 1, 2)",1805.367,1597.707,3403.074
39,"(1, 2, 1, 1, 1, 2, 2, 1)",1808.142,1632.269,3440.411
40,"(1, 2, 2, 1, 1, 1, 1, 2)",1838.072,1513.787,3351.859
41,"(1, 1, 1, 1, 1, 1, 1, 1)",1892.076,1539.599,3431.675
42,"(1, 1, 2, 2, 1, 2, 1, 1)",1697.065,1596.771,3293.8360000000002
43,"(1, 1, 2, 2, 2, 1, 1, 2)",1841.587,1577.215,3418.8019999999997
44,"(1, 2, 1, 1, 2, 2, 1, 1)",1686.014,1583.208,3269.2219999999998
45,"(1, 2, 1, 1, 1, 2, 1, 2)",1847.147,1652.416,3499.563
46,"(1, 1, 2, 2, 1, 2, 2, 1)",1768.586,1714.888,3483.474
47,"(1, 1, 2, 2, 1, 2, 2, 2)",1726.111,1672.278,3398.389
48,"(1, 2, 1, 2, 2, 2, 2, 2)",1607.627,1723.404,3331.031
49,"(1, 2, 1, 2, 2, 2, 1, 1)",1745.26,1784.59,3529.85
50,"(1, 1, 2, 1, 1, 2, 1, 1)",1721.146,1534.902,3256.048
