Unnamed: 0,Toulouse/Seminaire,Auterive,Bagneres de Luchon,Bessieres,Blagnac,Carbonne,Cazeres,Cugnaux,Escalquens,Fenouillet,Fonsorbes,Fronton,L Isle en Dodon,Leguevin,Levignac,Montrejeau,Muret,Pibrac,Plaisance du Touch,Portet sur Garonne,Revel,Rieumes,Saint-Gaudens,Salies du Salat/Mane,Toulouse/Grande-Bretagne(Casselardit),Toulouse/Malepere,Toulouse/Negogousses(Les Arenes),Tournefeuille,Villefranche de Lauragais,Auchan Gramont,Leclerc St Orens,Super U Flourens,Leclerc Blagnac,Leclerc Rouffiac,Carrefour Supply Chain,Carrefour Supply Chain (A)
Toulouse/Seminaire,0,40628,142865,27451,8765,48829,63030,17091,20063,6373,23703,25957,66957,22196,27894,111389,23602,17633,16394,13674,56824,41657,99244,84467,8278,12287,8601,15423,39362,5789,12838,16363,9362,8713,16616,16616
Auterive,40220,0,122154,66826,40675,27961,42125,28468,26790,44456,33763,64040,62794,41540,51388,90678,22450,43464,34658,26793,53331,35202,78533,63756,34713,32345,32936,34907,25825,39282,32896,36576,40643,46923,37684,37684
Bagneres de Luchon,142433,119381,0,169039,142387,97167,82620,125659,146119,146168,125662,166593,86452,134271,132661,39812,119164,138510,130404,128505,172712,106570,47743,58366,136425,141548,134648,132348,145206,144048,142099,148961,142355,149520,133151,133151
Bessieres,27465,67617,169537,0,34918,75501,89702,43763,43549,25566,50273,22093,93534,48349,50317,138061,50121,44321,43082,40193,58419,67810,125916,111139,34376,35273,35120,42111,56423,27453,35824,33914,35713,20945,43304,43304
Blagnac,9157,41004,142302,36322,0,48266,62761,16528,23450,13347,21534,26941,64788,17601,19682,110826,25040,12407,14225,15112,60230,38946,98681,83904,6538,16499,8070,13254,42749,12219,17050,20776,2291,17196,14116,14116
Carbonne,47682,26146,96474,74288,48137,0,14773,31497,47922,51918,34761,71502,39284,42620,52693,66587,25002,44769,36242,34255,79477,18188,53227,38076,42175,47298,40398,38186,51971,48187,47849,54011,48105,54769,38989,38989
Cazeres,62491,40454,82623,89097,62946,15457,0,46023,62732,66727,47274,86311,37587,55773,63895,55026,39812,59295,50768,49064,93785,28868,39376,24225,56984,62107,55207,52712,66279,62996,62658,68820,62914,69578,53515,53515
Cugnaux,16992,27159,125774,43598,17633,31738,46233,0,25214,22407,12511,41991,55392,14745,23960,94298,9023,15223,7509,7258,61996,26557,82153,67376,12285,17252,11000,8079,42238,17497,17803,23321,17413,24079,10256,10256
Escalquens,19992,28039,145665,43187,24124,49191,63828,25398,0,25960,34095,44537,77223,33343,39799,115599,27813,30578,26802,19656,39959,48388,102418,87267,18199,7998,17167,25831,20571,15646,7732,12337,24699,22100,28183,28183
Fenouillet,6765,44062,145947,25634,12212,51911,66548,21956,24427,0,27567,19584,70763,24778,24751,114471,28329,19584,20376,18539,61062,45104,102326,87549,11670,17476,13172,19405,43726,10846,18027,21608,13007,12616,20598,20598
