centre,type,min,median,max
TOULOUSE SEMINAIRE,AMBIANT,0.0,0.0,0.0
TOULOUSE SEMINAIRE,FRAIS,0.0,0.0,0.0
TOULOUSE SEMINAIRE,SURG,0.0,0.0,0.0
AUTERIVE,AMBIANT,98.58,252.8,486.61
AUTERIVE,FRAIS,34.42,95.13,183.7
AUTERIVE,SURG,4.7,25.72,97.35
BAGNERES DE LUCHON,AMBIANT,27.27,86.34,212.5
BAGNERES DE LUCHON,FRAIS,24.77,71.42,133.98
BAGNERES DE LUCHON,SURG,9.72,30.34,76.38
BESSIERES,AMBIANT,291.5,466.29,715.39
BESSIERES,FRAIS,0.0,0.0,0.0
BESSIERES,SURG,162.81,234.72,373.84
BLAGNAC,AMBIANT,343.22,969.0,1561.69
BLAGNAC,FRAIS,123.7,528.82,1075.87
BLAGNAC,SURG,47.23,86.86,188.92
CARBONNE,AMBIANT,150.16,308.86,620.06
CARBONNE,FRAIS,114.9,166.68,276.34
CARBONNE,SURG,13.23,35.0,66.42
CAZERES,AMBIANT,76.67,280.34,883.33
CAZERES,FRAIS,54.88,108.88,237.47
CAZERES,SURG,9.45,25.44,57.38
CUGNAUX,AMBIANT,287.08,635.49,1122.01
CUGNAUX,FRAIS,166.6,477.11,725.03
CUGNAUX,SURG,30.25,84.9,155.32
ESCALQUENS,AMBIANT,2.16,518.78,1086.83
ESCALQUENS,FRAIS,211.63,433.3,737.4
ESCALQUENS,SURG,11.1,60.55,119.11
FENOUILLET,AMBIANT,88.67,527.01,1213.32
FENOUILLET,FRAIS,55.24,219.9,355.72
FENOUILLET,SURG,17.49,38.24,86.52
FONSORBES,AMBIANT,341.32,520.0,816.13
FONSORBES,FRAIS,138.19,211.42,383.66
FONSORBES,SURG,17.86,66.27,134.73
FRONTON,AMBIANT,401.9,668.34,1097.89
FRONTON,FRAIS,91.8,210.11,386.13
FRONTON,SURG,18.11,67.32,97.11
LEGUEVIN,AMBIANT,0.0,0.0,0.0
LEGUEVIN,FRAIS,52.47,95.22,145.35
LEGUEVIN,SURG,3.38,17.06,61.14
LEVIGNAC,AMBIANT,131.9,243.14,451.2
LEVIGNAC,FRAIS,54.34,165.48,366.96
LEVIGNAC,SURG,4.12,21.67,55.69
L ISLE EN DODON,AMBIANT,14.62,134.4,368.5
L ISLE EN DODON,FRAIS,95.64,134.8,209.31
L ISLE EN DODON,SURG,9.4,26.54,56.63
MONTREJEAU,AMBIANT,36.5,156.84,481.49
MONTREJEAU,FRAIS,44.44,100.4,187.37
MONTREJEAU,SURG,4.86,22.64,54.67
MURET,AMBIANT,226.85,975.32,1774.58
MURET,FRAIS,315.74,589.43,894.28
MURET,SURG,45.9,72.18,128.46
PIBRAC,AMBIANT,933.87,1721.29,2909.21
PIBRAC,FRAIS,44.78,881.94,1755.25
PIBRAC,SURG,100.3,218.22,308.55
PLAISANCE DU TOUCH,AMBIANT,82.0,224.38,465.77
PLAISANCE DU TOUCH,FRAIS,50.74,139.31,305.12
PLAISANCE DU TOUCH,SURG,5.7,19.95,72.32
PORTET SUR GARONNE,AMBIANT,215.2,367.36,1390.71
PORTET SUR GARONNE,FRAIS,116.91,202.75,379.65
PORTET SUR GARONNE,SURG,16.07,41.31,120.54
REVEL,AMBIANT,9.63,240.71,473.67
REVEL,FRAIS,151.94,278.32,488.69
REVEL,SURG,34.02,52.73,120.51
RIEUMES,AMBIANT,43.46,189.62,371.02
RIEUMES,FRAIS,47.14,86.34,187.14
RIEUMES,SURG,16.56,26.67,70.62
SALIES DU SALAT,AMBIANT,59.02,263.63,464.76
SALIES DU SALAT,FRAIS,138.73,200.55,307.6
SALIES DU SALAT,SURG,27.7,45.64,90.65
ST GAUDENS,AMBIANT,235.3,909.98,2737.52
ST GAUDENS,FRAIS,284.13,494.26,860.42
ST GAUDENS,SURG,24.3,110.26,205.06
TOULOUSE GRANDE BRETAGNE,AMBIANT,374.81,880.66,3039.38
TOULOUSE GRANDE BRETAGNE,FRAIS,273.64,655.92,1102.22
TOULOUSE GRANDE BRETAGNE,SURG,42.3,104.9,257.36
TOULOUSE NEGOGOUSSES,AMBIANT,971.24,2588.67,3442.09
TOULOUSE NEGOGOUSSES,FRAIS,628.65,955.12,1410.75
TOULOUSE NEGOGOUSSES,SURG,84.6,180.52,348.95
TOULOUSE REVEL MALEPERE,AMBIANT,1281.99,2871.09,4814.39
TOULOUSE REVEL MALEPERE,FRAIS,248.44,587.06,1124.66
TOULOUSE REVEL MALEPERE,SURG,100.17,176.52,378.69
TOURNEFEUILLE,AMBIANT,0.0,0.0,0.0
TOURNEFEUILLE,FRAIS,112.16,465.08,804.58
TOURNEFEUILLE,SURG,23.62,61.48,123.8
VILLEFRANCHE DE LAURAGAIS,AMBIANT,0.0,0.0,0.0
VILLEFRANCHE DE LAURAGAIS,FRAIS,82.21,246.69,369.12
VILLEFRANCHE DE LAURAGAIS,SURG,9.72,61.14,138.18
