Unnamed: 0,Toulouse/Seminaire,Auterive,Bagneres de Luchon,Bessieres,Blagnac,Carbonne,Cazeres,Cugnaux,Escalquens,Fenouillet,Fonsorbes,Fronton,L Isle en Dodon,Leguevin,Levignac,Montrejeau,Muret,Pibrac,Plaisance du Touch,Portet sur Garonne,Revel,Rieumes,Saint-Gaudens,Salies du Salat/Mane,Toulouse/Grande-Bretagne(Casselardit),Toulouse/Malepere,Toulouse/Negogousses(Les Arenes),Tournefeuille,Villefranche de Lauragais,Auchan Gramont,Leclerc St Orens,Super U Flourens,Leclerc Blagnac,Leclerc Rouffiac,Carrefour Supply Chain
Toulouse/Seminaire,0.0,2327.3,6655.0,1709.3,872.2,2353.0,3080.8,1364.2,1327.4,580.9,1707.8,1731.8,3985.6,1410.8,1772.7,4521.1,1546.8,1235.2,1278.4,1159.6,3596.0,2700.6,4205.5,3729.2,632.1,873.5,792.2,1128.6,1897.0,470.1,943.5,1241.1,744.4,761.7,1190.8
Auterive,2331.0,0.0,6122.3,3797.4,2454.9,1820.3,2548.1,1717.9,2283.4,2568.1,2321.6,3545.5,4324.2,2760.2,3122.9,3988.4,1639.8,2584.6,2221.5,1592.8,3387.2,2423.3,3672.8,3196.5,1918.5,2251.7,1914.8,2335.3,1598.3,2511.4,2321.7,2687.0,2327.1,2849.8,2479.2
Bagneres de Luchon,6663.0,6084.5,0.0,8129.4,6786.9,4843.1,4616.2,5894.6,6857.7,6900.1,6256.5,7877.5,5688.6,6859.2,7391.3,2522.2,5492.7,6885.6,6256.7,5991.2,9189.6,5736.1,3010.8,4071.5,6250.5,6583.7,6246.8,6433.0,7400.7,6843.4,6653.7,7019.0,6659.1,7181.8,6514.4
Bessieres,1649.2,3710.0,8037.7,0.0,2306.4,3735.7,4463.5,2746.9,2329.8,1820.5,3119.7,1398.6,5397.5,2822.7,3092.0,5903.8,2929.5,2647.1,2690.3,2520.2,3898.4,4083.3,5588.2,5111.9,2014.8,1875.9,2174.9,2540.5,2899.4,1454.1,1945.9,2243.5,2178.6,1550.7,2602.7
Blagnac,963.8,2491.5,6819.2,2479.1,0.0,2517.2,3245.0,1467.2,1882.7,1143.7,1741.9,2001.7,4019.7,1444.9,1502.4,4685.3,1711.0,1096.1,1312.5,1323.8,4214.6,2799.5,4369.7,3893.4,732.4,1608.7,892.5,1162.7,2425.7,1239.9,1678.7,2010.9,342.2,1531.5,1224.9
Carbonne,2317.0,1738.5,4796.9,3783.4,2440.9,0.0,1211.8,1548.6,2511.7,2554.1,1910.5,3531.5,2953.7,2513.2,3045.3,2663.0,1146.7,2539.6,1910.7,1645.2,4843.6,1479.3,2347.4,1871.1,1904.5,2237.7,1900.8,2087.0,3054.7,2497.4,2307.7,2673.0,2313.1,2835.8,2168.4
Cazeres,3069.0,2490.5,4645.3,4535.4,3192.9,1249.1,0.0,2300.6,3263.7,3306.1,2662.5,4283.5,3197.8,3265.2,3797.3,2511.4,1898.7,3291.6,2662.7,2397.2,5595.6,2088.7,2195.8,1719.5,2656.5,2989.7,2652.8,2839.0,3806.7,3249.4,3059.7,3425.0,3065.1,3587.8,2920.4
Cugnaux,1398.8,1701.9,5884.4,2865.2,1441.3,1582.4,2310.2,0.0,1593.5,1635.9,956.7,2613.3,3631.8,1281.8,1814.2,3750.5,751.2,1308.5,679.6,612.7,3925.4,1879.9,3434.9,2958.6,986.3,1319.5,969.5,760.6,2136.5,1579.2,1389.5,1754.8,1313.5,1917.6,937.3
Escalquens,1367.2,2238.4,6853.0,2402.3,1815.4,2551.0,3278.8,1562.2,0.0,1730.4,2407.0,2614.4,4695.5,2120.7,2483.4,4719.1,1744.8,1945.1,1959.8,1320.9,2558.1,2898.6,4403.5,3927.2,1279.0,676.9,1275.3,1810.0,1298.7,1057.8,704.1,1080.1,1687.6,1549.9,1900.7
Fenouillet,571.9,2532.7,6860.4,1821.3,1129.1,2558.4,3286.2,1569.6,1704.6,0.0,1942.4,1411.1,4220.2,1645.4,1720.1,4726.5,1752.2,1451.2,1513.0,1365.0,3973.2,2906.0,4410.9,3934.6,837.5,1250.7,997.6,1363.2,2274.2,847.3,1320.7,1618.3,1001.3,1064.2,1425.4
Fonsorbes,1709.1,2262.5,6238.5,3197.0,1651.9,1936.5,2664.3,874.4,2372.0,1967.7,0.0,2945.1,2877.6,712.6,1472.0,4104.6,1105.3,966.3,506.1,1422.6,4703.9,1305.7,3789.0,3312.7,1321.5,2098.0,1380.7,682.4,2915.0,1957.8,2168.0,2533.3,1524.1,2249.4,734.5
Fronton,1706.4,3488.2,7815.9,1383.1,2019.2,3513.9,4241.7,2525.1,2590.4,1385.5,2897.9,0.0,4944.9,2600.9,1893.3,5682.0,2707.7,2310.2,2468.5,2320.5,4772.3,3861.5,5366.4,4890.1,1793.0,2136.5,1953.1,2318.7,3160.0,1733.1,2206.5,2504.1,1894.2,2024.7,2380.9
L Isle en Dodon,3973.4,4327.3,5671.1,5461.3,3916.2,3045.7,3186.0,3636.6,4646.0,4232.0,2875.5,4947.1,0.0,2991.9,3110.2,3375.5,3522.5,3237.3,3355.7,4062.7,6977.9,2269.9,2894.1,3847.5,3585.8,4372.0,3716.4,3532.0,5189.0,4222.1,4442.0,4807.3,3788.4,4513.7,3257.0
Leguevin,1381.5,2658.9,6757.0,2869.4,1324.3,2455.0,3182.8,1160.1,2054.1,1640.1,707.5,2617.5,3013.0,0.0,907.8,4623.1,1623.8,543.3,777.4,1484.8,4386.0,1759.9,4307.5,3831.2,993.9,1780.1,1124.5,953.3,2597.1,1630.2,1850.1,2215.4,1196.5,1921.8,511.4
Levignac,1821.3,3102.7,7335.6,3122.7,1520.7,3033.6,3761.4,1738.7,2493.9,1745.8,1483.4,1910.6,3109.7,983.0,0.0,5201.7,2202.4,866.9,1301.9,1924.6,4825.8,2523.7,4886.1,4409.8,1433.7,2219.9,1564.3,1477.8,3036.9,2070.0,2289.9,2655.2,1299.1,2361.6,1010.7
Montrejeau,4524.9,3946.4,2494.3,5991.3,4648.8,2705.0,2478.1,3756.5,4719.6,4762.0,4118.4,5739.4,3362.0,4721.1,5253.2,0.0,3354.6,4747.5,4118.6,3853.1,7051.5,3598.0,1072.6,1933.4,4112.4,4445.6,4108.7,4294.9,5262.6,4705.3,4515.6,4880.9,4521.0,5043.7,4376.3
Muret,1540.9,1585.1,5517.0,3007.3,1664.8,1215.0,1942.8,730.8,1735.6,1778.0,1092.7,2755.4,3504.9,1695.4,2227.5,3383.1,0.0,1721.8,1092.9,745.2,4067.5,1562.6,3067.5,2591.2,1128.4,1461.6,1124.7,1269.2,2278.6,1721.3,1531.6,1896.9,1537.0,2059.7,1350.6
Pibrac,1311.6,2593.0,6825.9,2799.5,1084.7,2523.9,3251.7,1229.0,1984.2,1443.4,947.3,2301.4,3225.1,611.0,857.9,4692.0,1692.7,0.0,792.2,1414.9,4316.1,2004.9,4376.4,3900.1,924.0,1710.2,1054.6,968.1,2527.2,1560.3,1780.2,2145.5,841.3,1851.9,501.0
Plaisance du Touch,1306.8,2096.8,6194.9,2794.7,1249.6,1892.9,2620.7,598.0,1947.1,1565.4,501.8,2542.8,3347.1,817.4,1291.3,4061.0,1061.7,785.6,0.0,1153.3,4279.0,1775.2,3745.4,3269.1,919.2,1673.1,962.6,197.6,2490.1,1555.5,1743.1,2108.4,1121.8,1847.1,414.4
Portet sur Garonne,1083.6,1585.7,6026.9,2550.0,1207.5,1724.9,2452.7,578.9,1278.3,1320.7,1413.8,2298.1,4026.9,1512.8,1875.5,3893.0,732.0,1337.2,1139.9,0.0,3610.2,2072.5,3577.4,3101.1,671.1,1004.3,667.4,990.1,1821.3,1264.0,1074.3,1439.6,1079.7,1602.4,1292.8
Revel,3578.7,3325.7,9123.6,3894.9,4086.0,4821.6,5549.4,3832.8,2510.8,3941.9,4677.6,4760.2,6966.1,4391.3,4754.0,6989.7,4015.4,4215.7,4230.4,3591.5,0.0,5169.2,6674.1,6197.8,3549.6,2768.5,3545.9,4080.6,1767.5,3269.3,2795.7,2401.8,3958.2,3578.1,4171.3
Rieumes,2723.0,2402.3,5726.9,4209.0,2665.8,1526.3,2109.3,1900.1,2937.3,2979.7,1270.3,3957.1,2276.0,1696.5,2486.9,3593.0,1572.3,1986.9,1750.5,2070.8,5269.2,0.0,3277.4,2801.1,2330.1,2663.3,2326.4,1926.8,3480.3,2923.0,2733.3,3098.6,2538.0,3261.4,1978.9
Saint-Gaudens,4114.0,3535.5,2983.4,5580.4,4237.9,2294.1,2067.2,3345.6,4308.7,4351.1,3707.5,5328.5,2733.8,4310.2,4842.3,1035.7,2943.7,4336.6,3707.7,3442.2,6640.6,3187.1,0.0,1391.1,3701.5,4034.7,3697.8,3884.0,4851.7,4294.4,4104.7,4470.0,4110.1,4632.8,3965.4
Salies du Salat/Mane,3734.3,3155.8,4067.6,5200.7,3858.2,1914.4,1687.5,2965.9,3929.0,3971.4,3327.8,4948.8,3745.0,3930.5,4462.6,1975.2,2564.0,3956.9,3328.0,3062.5,6260.9,2807.4,1405.1,0.0,3321.8,3655.0,3318.1,3504.3,4472.0,3914.7,3725.0,4090.3,3730.4,4253.1,3585.7
Toulouse/Grande-Bretagne(Casselardit),655.0,1978.6,6306.3,2170.3,692.6,2004.3,2732.1,1015.5,1369.8,941.0,1294.9,1918.4,3572.7,997.9,1360.6,4172.4,1198.1,822.3,865.5,810.9,3701.7,2351.9,3856.8,3380.5,0.0,1093.2,245.4,715.7,1912.8,931.1,1163.2,1528.5,564.8,1222.7,777.9
Toulouse/Malepere,892.8,2221.4,6549.1,1927.9,1511.5,2247.1,2974.9,1258.3,668.5,1256.0,2103.1,2140.0,4391.6,1816.8,2179.5,4415.2,1440.9,1641.2,1655.9,1017.0,2812.6,2594.7,4099.6,3623.3,975.1,0.0,971.4,1506.1,1396.2,583.4,124.9,650.4,1383.7,1075.5,1596.8
Toulouse/Negogousses(Les Arenes),791.4,1926.3,6254.0,2257.8,892.5,1952.0,2679.8,956.8,1317.5,1028.5,1409.2,2005.9,3772.6,1197.8,1560.5,4120.1,1145.8,1022.2,955.0,758.6,3649.4,2299.6,3804.5,3328.2,254.6,1043.5,0.0,805.2,1860.5,986.9,1113.5,1478.8,764.7,1310.2,977.8
Tournefeuille,1109.2,2161.0,6406.7,2597.1,1052.0,2104.7,2832.5,656.2,1749.5,1367.8,713.6,2345.2,3558.9,1027.4,1501.3,4272.8,1273.5,995.6,227.5,955.7,4081.4,1987.0,3957.2,3480.9,721.6,1475.5,765.0,0.0,2292.5,1357.9,1545.5,1910.8,924.2,1649.5,515.9
Villefranche de Lauragais,1911.1,1580.2,7372.1,2946.2,2334.5,3070.1,3797.9,2081.3,1270.3,2274.3,2926.1,3158.3,5214.6,2639.8,3002.5,5238.2,2263.9,2464.2,2478.9,1840.0,1828.7,3417.7,4922.6,4446.3,1798.1,1353.6,1794.4,2329.1,0.0,1601.7,1423.6,1788.9,2206.7,2093.8,2419.8
Auchan Gramont,471.9,2446.1,6773.8,1507.0,1129.1,2471.8,3199.6,1483.0,1051.3,835.1,1942.4,1719.1,4220.2,1645.4,2008.1,4639.9,1665.6,1469.8,1513.0,1241.7,3355.1,2819.4,4324.3,3848.0,837.5,597.4,983.3,1363.2,1620.9,0.0,667.4,965.0,1001.3,654.6,1425.4
Leclerc St Orens,956.9,2285.5,6613.2,1992.0,1575.6,2311.2,3039.0,1322.4,699.9,1320.1,2167.2,2204.1,4455.7,1880.9,2243.6,4479.3,1505.0,1705.3,1720.0,1081.1,2844.0,2658.8,4163.7,3687.4,1039.2,125.5,1035.5,1570.2,1460.3,647.5,0.0,667.2,1447.8,1139.6,1660.9
Super U Flourens,1186.7,2658.3,6986.0,2221.8,1843.9,2684.0,3411.8,1695.2,1166.2,1549.9,2540.0,2433.9,4828.5,2253.7,2616.4,4852.1,1877.8,2078.1,2092.8,1453.9,2422.3,3031.6,4536.5,4060.2,1412.0,667.0,1408.3,1943.0,1833.1,877.3,737.0,0.0,1716.1,1369.4,2033.7
Leclerc Blagnac,846.3,2369.0,6696.7,2361.6,332.4,2394.7,3122.5,1287.3,1760.2,980.5,1562.0,1838.5,3839.8,1265.0,1235.5,4562.8,1588.5,831.8,1132.6,1201.3,4092.1,2619.6,4247.2,3770.9,700.0,1486.2,830.6,982.8,2303.2,1122.4,1556.2,1893.4,0.0,1414.0,1045.0
Leclerc Rouffiac,829.9,2890.7,7218.4,1604.3,1487.1,2916.4,3644.2,1927.6,1628.8,1186.2,2300.4,2056.3,4578.2,2003.4,2366.1,5084.5,2110.2,1827.8,1871.0,1723.0,3600.1,3264.0,4768.9,4292.6,1195.5,1174.9,1355.6,1721.2,2198.4,762.0,1244.9,1542.5,1359.3,0.0,1783.4
Carrefour Supply Chain,1147.3,2360.4,6458.5,2635.2,1090.1,2156.5,2884.3,861.6,1819.9,1405.9,737.4,2383.3,3253.9,551.8,994.9,4324.6,1325.3,489.2,424.8,1250.6,4151.8,2010.8,4009.0,3532.7,759.7,1545.9,890.3,536.1,2362.9,1396.0,1615.9,1981.2,962.3,1687.6,0.0
