Unnamed: 0,Toulouse/Seminaire,Auterive,Bagneres de Luchon,Bessieres,Blagnac,Carbonne,Cazeres,Cugnaux,Escalquens,Fenouillet,Fonsorbes,Fronton,L Isle en Dodon,Leguevin,Levignac,Montrejeau,Muret,Pibrac,Plaisance du Touch,Portet sur Garonne,Revel,Rieumes,Saint-Gaudens,Salies du Salat/Mane,Toulouse/Grande-Bretagne(Casselardit),Toulouse/Malepere,Toulouse/Negogousses(Les Arenes),Tournefeuille,Villefranche de Lauragais,Auchan Gramont,Leclerc St Orens,Super U Flourens,Leclerc Blagnac,Leclerc Rouffiac,Carrefour Supply Chain
Toulouse/Seminaire,0,3407,6790,2061,1558,3146,3692,2423,2117,872,2570,2192,4403,2202,2514,4945,2319,2108,2154,2118,3670,3430,4663,4372,1553,1529,1734,2046,2494,922,1636,1837,1524,1245,1991
Auterive,3169,0,5699,3839,4042,1885,2437,2525,2159,3566,2812,4732,3837,3584,4397,3869,2125,3896,3244,2322,3309,2413,3511,3079,3188,2493,3157,3306,1797,2667,2567,3003,3926,4152,3591
Bagneres de Luchon,6344,5649,0,7469,6299,4473,4286,5765,6362,6449,5860,7354,4840,6550,6956,2431,5057,6514,6026,5476,8455,5302,2769,3850,5894,6159,5921,6204,6883,6258,6248,6660,6190,6773,6323
Bessieres,2163,4290,8404,0,3109,4456,5004,3851,3107,2123,4196,1437,5787,3687,3397,6513,3732,3634,3781,3414,3869,4761,6034,5646,3120,2339,3053,3475,3414,1775,2433,2575,3055,1647,3636
Blagnac,1368,2964,6486,2854,0,2849,3377,1818,2471,1455,1985,2313,3833,1555,1671,4718,2038,1314,1578,1764,4468,2906,4365,4002,1103,2252,1365,1467,3025,1808,2310,2676,406,2085,1412
Carbonne,3765,1804,4477,4446,3842,0,1095,2102,3341,3478,2122,4576,2552,2751,3903,2599,1308,3379,2654,2182,5076,1288,2244,1816,3284,3448,2963,2686,3535,3432,3361,4007,3530,3982,3072
Cazeres,4228,2416,4348,5009,4223,1161,0,2628,3876,4159,2670,4990,2546,3346,4430,2399,1847,3791,3272,2780,5622,1858,2040,1628,3738,3766,3440,3451,4142,3945,3816,4250,4088,4497,3464
Cugnaux,2715,2006,5790,3940,2451,2010,2524,0,2527,2674,1241,3512,3911,1668,2341,3943,944,1925,1003,1112,4524,2057,3579,3226,2357,2599,2017,1254,3108,2577,2565,2912,2247,3222,1466
Escalquens,2217,2087,7266,2783,3085,3369,3934,2695,0,2534,3121,3315,5543,3328,3801,5502,2447,3255,3345,2481,2448,3636,4925,4718,2871,1084,2495,3502,1534,1580,1023,1124,3088,2300,3522
Fenouillet,1475,3940,7382,2118,2026,3636,4160,2903,2994,0,3445,1698,4923,2857,2496,5348,2875,2486,2788,2573,4564,3776,5316,4743,2170,2601,2289,2641,3413,1996,2559,2865,1887,1594,2615
Fonsorbes,2870,2705,5996,4443,2515,2202,2722,1188,3223,2854,0,3500,2965,729,1603,4210,1437,1292,687,2063,5398,1447,3808,3397,2501,3642,2384,956,3663,3482,3443,4246,2450,3769,1117
Fronton,2261,4435,7962,1487,2637,4182,4647,3666,3412,1684,3556,0,4996,2957,2144,6078,3352,2804,3615,3078,4655,4204,5624,5332,2655,3036,2731,3509,3887,2382,3037,2908,2592,1968,3048
L Isle en Dodon,4669,3834,4949,5754,4242,2574,2505,3827,5130,4678,2861,4879,0,2689,3118,2697,3248,3221,3372,3973,7018,1917,2311,3163,4190,4989,4389,3623,5497,4672,5025,5460,4192,4958,3497
Leguevin,2493,3655,7354,4011,2098,2804,3435,1585,3382,2430,753,2831,2813,0,921,4924,2034,662,953,2543,5144,1800,4568,4174,2189,3209,2336,1222,3654,3160,3114,3421,2129,3351,814
Levignac,3024,4335,7815,3354,2422,3714,4399,2354,3885,2499,1613,2030,3125,996,0,5698,3047,928,1843,2946,5503,2317,5555,5265,2706,3634,2767,1905,4398,3374,3696,3923,2182,3575,1417
Montrejeau,5046,3970,2527,6095,4971,2702,2450,4018,5000,4984,4165,5834,2597,4992,5409,0,3372,5208,4455,3958,7008,3453,1078,1960,4527,4824,4425,4589,5456,4898,4831,5269,4908,5379,4692
Muret,2999,1897,5220,4189,3007,1354,1886,979,2343,2939,1290,4152,3319,1950,2804,3364,0,2476,1541,1152,4465,1539,2981,2547,2432,2799,2243,1744,3354,3012,2720,3364,2898,3373,2017
Pibrac,2465,3767,7310,4038,1913,3507,3826,1968,3283,2512,1205,2635,3051,716,922,5214,2625,0,1384,2561,5249,2170,4937,4414,2237,3046,2140,1528,3621,3058,3047,3413,1791,3203,992
Plaisance du Touch,2512,2648,6048,3794,2201,2381,2856,886,3208,2429,672,3536,3387,1033,1845,4286,1415,1289,0,2034,4935,1826,3931,3543,2259,2927,2125,463,3604,3114,3078,3414,2114,3066,740
Portet sur Garonne,1939,2053,5826,3003,1988,1939,2453,882,1756,1879,1712,2760,3877,2306,2657,3937,965,2306,1827,0,3882,2112,3541,3125,1488,1618,1223,1927,2392,1749,1722,2210,1768,2513,2171
Revel,3696,3453,8833,3811,4532,4997,5460,4243,2365,4060,4804,4585,6987,4837,5268,6932,4233,4812,4823,3989,0,5124,6574,6199,4137,2777,3905,4600,1747,3212,2643,2428,4511,3201,4714
Rieumes,3837,2454,5284,5015,3571,1349,1896,2085,3766,3996,1326,4236,1976,1714,2272,3338,1685,2253,1969,2629,5858,0,2980,2565,3220,3818,3133,2198,4276,3787,3654,4050,3447,4263,2308
Saint-Gaudens,4697,3502,2827,5823,4722,2294,1989,3682,4714,4740,3726,5553,2229,4623,5080,1147,2924,4896,4057,3654,6751,3024,0,1413,4300,4507,4121,4268,5175,4646,4570,4950,4688,5134,4400
