,Toulouse/Seminaire,Auterive,Bagneres de Luchon,Bessieres,Blagnac,Carbonne,Cazeres,Cugnaux,Escalquens,Fenouillet,Fonsorbes,Fronton,L Isle en Dodon,Leguevin,Levignac,Montrejeau,Muret,Pibrac,Plaisance du Touch,Portet sur Garonne,Revel,Rieumes,Saint-Gaudens,Salies du Salat/Mane,Toulouse/Grande-Bretagne(Casselardit),Toulouse/Malepere,Toulouse/Negogousses(Les Arenes),Tournefeuille,Villefranche de Lauragais,METRO,Auchan Gramont,Leclerc St Orens,Super U Flourens,Leclerc Blagnac,Leclerc Rouffiac,Carrefour Supply Chain
Toulouse/Seminaire,0.0,40595.0,145114.7,30583.199999999997,10026.3,48432.7,63908.299999999996,19668.4,22349.5,6254.5,23453.6,27193.3,68207.6,21577.8,27697.7,110772.8,24837.8,18347.4,16278.7,16719.5,56763.2,41993.8,97336.4,84050.2,7805.5,13914.5,9667.1,14416.1,41146.3,3786.3,6742.6,14394.4,17241.0,9234.9,8905.6,16507.9
Auterive,40260.7,0.0,125065.90000000001,70305.6,41580.5,28383.9,43859.5,28658.6,38926.4,44653.9,36830.7,65592.7,63729.3,42970.399999999994,51831.899999999994,90724.0,28729.4,43925.5,35703.9,26762.6,54131.2,35464.8,77287.6,64001.4,34523.7,38147.1,33101.2,34183.7,24963.8,41372.1,42948.1,38627.0,44777.1,40789.2,49166.299999999996,38327.299999999996
Bagneres de Luchon,144394.7,124509.40000000001,0.0,175151.9,145714.5,100222.9,90554.3,128344.6,148563.1,148787.90000000002,131094.3,162020.0,86875.2,138396.0,134446.8,39790.0,121839.5,140832.7,133114.3,132022.3,181166.59999999998,110144.9,47782.8,69191.20000000001,138657.7,142281.1,137235.2,135057.8,151999.19999999998,145506.1,147082.1,142761.0,148911.1,144923.2,153474.3,135837.5
Bessieres,30433.9,69680.1,174199.7,0.0,39452.2,77517.7,94142.40000000001,48753.5,43742.4,25585.5,53698.700000000004,19456.5,92559.8,51822.9,44891.8,139857.9,53922.9,46026.1,46523.8,45804.6,63677.2,72238.9,126421.4,113135.2,36890.6,35307.3,37143.1,44661.2,62539.2,31266.7,27338.7,35787.3,38633.9,38660.8,20961.4,46753.0
Blagnac,8820.5,39350.0,143869.6,38995.4,0.0,47187.7,62663.299999999996,17838.3,25258.5,12502.1,22475.5,26948.6,67229.5,18480.9,21016.4,109527.8,23592.8,12505.3,15300.6,15474.5,61802.3,41015.7,96091.3,82805.1,5966.4,16767.4,7827.9,13438.0,44930.7,6575.0,15242.9,17247.3,23397.4,2104.7,17406.0,15529.8
Carbonne,47556.8,27671.5,100714.6,77601.7,48876.6,0.0,15475.6,31506.7,51725.2,51950.0,39095.4,72888.8,38937.3,45179.9,51901.2,66372.8,25001.6,43994.8,36276.4,35184.4,81802.7,21424.4,52936.3,39650.1,41819.8,45443.2,40397.3,38219.9,52635.3,48668.200000000004,50244.200000000004,45923.1,52073.2,48085.2,56462.4,38999.6
Cazeres,64617.1,44731.8,91250.1,94662.09999999999,65936.9,20445.3,0.0,48567.1,68785.6,69010.4,48394.0,89949.2,38827.1,55695.7,65012.100000000006,56908.3,42061.9,61055.2,53336.7,52244.8,98863.0,29970.7,43471.8,30185.6,58880.1,62503.5,57457.6,55280.2,69695.6,65728.5,67304.5,62983.4,69133.6,65145.6,73522.7,56060.0
Cugnaux,19884.8,27855.5,128443.90000000001,49023.8,17798.7,31762.0,47237.6,0.0,24053.2,24278.0,12395.0,44137.9,55694.3,14311.8,23173.3,94102.1,10502.3,15266.9,7548.5,7612.8,62806.100000000006,26603.1,80665.6,67379.4,13569.6,17771.2,11003.0,6955.3,42979.1,20996.199999999997,20849.9,18251.1,24401.2,17007.4,28607.300000000003,10271.7
Escalquens,22447.2,39207.3,149767.1,43952.2,28451.7,53085.1,68560.7,24320.9,0.0,26760.8,35931.5,47699.6,78264.4,36913.4,42082.4,115425.3,29490.2,33682.9,28756.6,19653.4,40032.3,49173.2,101988.8,88702.6,21394.8,8541.1,19972.3,26894.1,23100.2,24310.1,17335.6,8536.7,12392.7,27660.3,23535.8,31037.699999999997
Fenouillet,6180.5,44094.6,148614.2,25651.7,13866.7,51932.2,67407.8,23168.0,26719.9,0.0,28113.199999999997,20938.8,70769.2,26237.4,23101.2,114272.4,28337.4,20440.6,20938.3,20219.1,61133.5,46653.399999999994,100835.9,87549.7,11305.1,18284.8,13166.6,19075.7,45516.6,5681.2,11112.9,18764.7,21611.3,13075.3,12854.4,21167.5
