,Toulouse/Seminaire,Auterive,Bagneres de Luchon,Bessieres,Blagnac,Carbonne,Cazeres,Cugnaux,Escalquens,Fenouillet,Fonsorbes,Fronton,L Isle en Dodon,Leguevin,Levignac,Montrejeau,Muret,Pibrac,Plaisance du Touch,Portet sur Garonne,Revel,Rieumes,Saint-Gaudens,Salies du Salat/Mane,Toulouse/Grande-Bretagne(Casselardit),Toulouse/Malepere,Toulouse/Negogousses(Les Arenes),Tournefeuille,Villefranche de Lauragais,METRO,Auchan Gramont,Leclerc St Orens,Super U Flourens,Leclerc Blagnac,Leclerc Rouffiac,Carrefour Supply Chain
Toulouse/Seminaire,0.0,40595.0,147414.1,31527.9,10026.3,48432.7,65373.5,19668.4,22349.5,6254.5,25582.2,29539.7,71005.1,21577.8,27697.7,110772.8,24837.8,18347.4,16278.7,16719.5,65103.8,44520.8,97336.4,84050.2,7805.5,13914.5,9667.1,14416.1,41146.3,3786.3,6742.6,14394.4,17241.0,9234.9,8905.6,16507.9
Auterive,40260.7,0.0,127365.3,71962.5,41580.5,28383.9,45324.7,28658.6,38926.4,44653.9,36830.7,66123.0,63729.3,50042.3,55211.2,90724.0,28729.4,46811.8,35703.9,26762.6,54131.2,35464.8,77287.6,64001.4,34523.7,38147.1,33101.2,34183.7,24963.8,41375.8,45826.1,38627.0,44777.1,40789.2,49340.3,38427.2
Bagneres de Luchon,146920.7,127035.4,0.0,178622.6,148240.6,102748.9,93080.4,130870.7,151089.2,151314.0,138459.4,172783.1,86875.2,148026.1,151265.2,39790.0,124365.5,143358.8,135640.3,134548.4,199182.5,112671.0,47782.8,77514.2,141183.7,144807.1,139761.2,137583.8,170015.1,148035.8,152486.2,145287.1,151437.2,147449.2,156000.3,138363.6
Bessieres,30637.5,70829.2,177648.2,0.0,40601.3,78666.8,95607.6,49902.6,43742.4,25585.5,56976.4,19456.5,102399.2,52972.0,44891.8,141007.0,55072.0,49741.6,47672.9,45900.5,63677.2,74755.0,127570.5,114284.3,38039.7,35307.3,39901.2,45810.3,62539.2,32500.4,27338.7,35787.3,38633.9,39809.9,20961.4,47902.1
Blagnac,8820.5,39350.0,146169.1,40955.1,0.0,47187.7,64128.5,17838.3,26004.8,13343.7,24604.0,26948.6,70026.9,20599.7,21364.4,109527.8,23592.8,12505.3,15300.6,15474.5,74098.1,44642.6,96091.3,82805.1,5966.4,19722.7,7827.9,13438.0,44930.7,6575.0,16169.7,20202.7,26668.2,2104.7,18332.8,15529.8
Carbonne,47556.8,27671.5,103014.0,79258.6,48876.6,0.0,15475.6,31506.7,51725.2,51950.0,39095.4,73419.1,38937.3,48662.2,51901.2,66372.8,25001.6,43994.8,36276.4,35184.4,99818.5,21424.4,52936.3,39650.1,41819.8,45443.2,40397.3,38219.9,70651.1,48671.9,53122.2,45923.1,52073.2,48085.2,56636.4,38999.6
Cazeres,64617.1,44731.8,93549.5,96319.0,65936.9,20445.3,0.0,48567.1,68785.6,69010.4,56155.8,90479.5,38827.1,65722.5,68961.6,56908.3,42061.9,61055.2,53336.7,52244.8,116878.9,29970.7,43471.8,30185.6,58880.1,62503.5,57457.6,55280.2,87711.5,65732.2,70182.6,62983.4,69133.6,65145.6,73696.7,56060.0
Cugnaux,19884.8,27855.5,130743.4,51586.7,17798.7,31762.0,48702.8,0.0,24053.2,24278.0,12395.0,45747.2,56747.4,14311.8,23173.3,94102.1,10502.3,15266.9,7548.5,7612.8,72146.5,26603.1,80665.6,67379.4,14147.8,17771.2,11003.0,6955.3,42979.1,20999.9,25450.2,18251.1,24401.2,17007.4,28964.4,10271.7
Escalquens,22447.2,39207.3,152066.5,43952.2,28451.7,53085.1,70025.9,24320.9,0.0,26760.8,36110.2,47863.8,86340.6,36913.4,42082.4,115425.3,29490.2,33682.9,28756.6,19653.4,40032.3,49173.2,101988.8,88702.6,21394.8,8541.1,19972.3,26894.1,23100.2,24310.1,17335.6,8536.7,12392.7,27660.3,23535.8,31843.5
Fenouillet,6180.5,44094.6,150913.6,25651.7,13866.7,51932.2,68873.0,23168.0,26719.9,0.0,30241.8,20938.8,75664.6,26237.4,23101.2,114272.4,28337.4,20440.6,20938.3,20219.1,69474.2,48020.4,100835.9,87549.7,11305.1,18284.8,13166.6,19075.7,45516.6,5681.2,11112.9,18764.7,21611.3,13075.3,12854.4,21167.5
Fonsorbes,24090.2,36566.9,138288.9,56447.7,22725.1,39307.5,56248.3,11894.8,33976.0,29139.1,0.0,50608.2,44846.5,7875.9,20130.0,101647.7,18047.8,12223.7,7177.2,19212.0,82069.3,18632.7,88211.2,74925.0,19295.4,27694.0,16579.6,9120.7,52901.9,25860.9,31662.3,28173.9,34324.0,21933.7,33825.4,9419.5
Fronton,29290.5,65234.0,172053.1,20994.7,27063.3,73071.7,90012.5,44307.5,47726.0,20615.3,51381.2,0.0,75137.9,47376.9,27801.9,135411.9,49476.8,34388.3,42077.8,41358.6,75298.6,69159.9,121975.4,108689.2,32444.6,39290.9,34306.1,40215.2,66522.7,26905.3,32119.0,39770.8,42617.4,27545.5,34282.1,42307.0
L Isle en Dodon,70879.2,64109.6,86800.0,103236.7,69514.1,39498.1,38771.6,56800.5,85082.5,75928.1,44844.8,75144.8,0.0,51703.8,47571.6,48857.3,55398.3,57868.7,51929.5,65788.1,133175.8,29033.2,41194.5,52630.8,66084.5,78800.4,67363.1,53872.9,104008.4,72649.9,78451.3,79280.4,85430.5,68722.8,80614.4,58738.6
Leguevin,20595.9,41281.0,141969.9,52953.3,19230.7,42988.5,59929.3,13750.0,34799.1,25644.7,7831.5,47113.8,51476.1,0.0,12089.9,105328.7,21728.8,5667.4,8890.0,22533.3,82892.4,25947.7,91892.2,78606.0,15801.1,28517.1,17079.7,10566.0,53725.0,22366.6,28168.0,28997.0,35147.1,18439.4,30331.0,7197.0
Levignac,27585.8,55134.3,151004.8,45009.2,20185.4,52023.4,68964.2,22784.8,41789.1,23705.8,20242.0,27916.5,47668.0,12487.8,0.0,114363.5,30763.7,10865.5,17341.6,29523.2,89882.3,35356.6,100927.1,87640.9,22791.0,35507.0,24069.6,19017.6,60714.9,29356.5,35157.9,35986.9,42137.1,19120.9,37321.0,14254.3
Montrejeau,110453.5,90568.1,39585.2,142155.3,111773.3,66281.6,56613.1,94403.4,114621.9,114846.7,101992.1,136315.8,48860.6,111558.9,114797.9,0.0,87898.3,106891.5,99173.1,98081.1,162715.2,76203.7,15844.4,41046.9,104716.5,108339.9,103294.0,101116.6,133547.8,111568.6,116018.9,108819.8,114969.9,110981.9,119533.0,101896.3
Muret,26553.6,28280.2,124990.4,58255.4,27873.4,26009.0,42949.9,10296.6,30722.0,30946.8,17885.2,52415.9,55269.5,27452.0,30691.0,88349.2,0.0,22784.7,15066.2,10925.3,78815.3,22097.2,74912.7,61626.5,20816.6,24440.0,19394.1,17009.7,49647.9,27668.7,32119.0,24919.9,31070.0,27082.0,35633.2,17789.5
Pibrac,19535.4,47083.8,142954.3,51892.8,12452.9,43972.9,60913.7,14734.4,33738.6,20626.3,12233.6,34231.1,57656.5,5975.6,10732.0,106313.1,22713.2,0.0,9291.1,21472.8,81831.9,32272.1,92876.6,79590.4,14740.6,27456.6,16019.2,10967.1,52664.5,21306.0,27107.5,27936.5,34086.6,10664.7,29270.5,6203.9
Plaisance du Touch,16279.0,34657.2,135346.1,48636.4,14913.9,36364.7,53305.5,7126.2,27904.1,21327.8,7174.9,42796.9,51928.9,8903.5,17235.9,98704.9,15105.0,9329.5,0.0,13662.0,75997.4,25715.1,85268.4,71982.2,11484.2,21622.0,9552.4,2062.4,46830.0,18049.7,23851.1,22102.0,28252.1,14122.5,26014.2,4334.3
Portet sur Garonne,15641.6,27538.5,135392.1,47343.5,16961.4,36410.7,53351.5,7417.5,19810.1,20034.9,19113.2,41504.0,64798.6,25423.2,30592.2,98750.8,11011.8,22192.7,13851.0,0.0,67903.4,32498.8,85314.4,72028.2,9904.6,13528.0,8482.1,11988.4,38736.0,16756.7,21207.1,14008.0,20158.1,16170.1,24721.2,20353.3
Revel,56773.5,53801.8,199199.3,63915.4,75584.4,100217.9,117158.7,71453.6,39805.9,61087.1,83242.9,75215.0,133473.4,84046.2,89215.2,162558.0,76623.0,80815.7,75889.4,66786.2,0.0,96306.0,149121.6,135835.3,68527.6,44827.3,67105.1,74026.8,29114.5,58636.5,51661.9,44822.9,39542.0,74793.1,56666.5,78976.3
Rieumes,45057.3,35459.5,112576.1,76347.3,43692.1,18619.0,30244.1,26942.2,48813.9,49038.7,18423.3,70507.8,29091.2,25725.0,35041.4,75934.8,22090.2,32046.8,25507.9,32273.0,96907.1,0.0,62498.4,49212.2,38908.4,42531.8,37485.9,27451.4,67739.7,45760.5,50210.8,43011.7,49161.8,42900.8,53725.0,27750.2
Saint-Gaudens,96611.9,76726.6,47778.3,128313.8,97931.7,52440.1,42771.5,80561.8,100780.3,101005.1,88150.5,122474.2,39848.7,97717.3,100956.3,15521.7,74056.7,93049.9,85331.5,84239.5,148873.6,62362.1,0.0,21408.4,90874.9,94498.3,89452.4,87275.0,119706.2,97727.0,102177.3,94978.2,101128.3,97140.4,105691.5,88054.7
Salies du Salat/Mane,83435.9,63550.5,63554.0,115137.7,84755.7,39264.0,29595.5,67385.8,87604.3,87829.1,74974.5,109298.2,47543.8,84541.3,87780.3,41457.1,60880.7,79873.9,72155.5,71063.5,135697.6,49186.1,21572.0,0.0,77698.8,81322.2,76276.4,74098.9,106530.2,84550.9,89001.3,81802.2,87952.3,83964.3,92515.4,74878.7
Toulouse/Grande-Bretagne(Casselardit),7956.9,35471.4,142290.5,40091.4,7963.7,43309.1,60249.9,14544.8,22126.2,12782.8,20429.8,34251.9,65852.7,16425.5,21594.5,105649.2,19714.2,13195.0,11126.4,11595.9,70219.5,39397.2,92212.8,78926.6,0.0,10801.0,2494.4,9263.8,41052.1,6848.4,15306.1,11280.9,17431.0,7172.4,17469.1,11355.6
